MI_PRINX,offense_id,rpt_date,occur_date,occur_time,poss_date,poss_time,beat,apt_office_prefix,apt_office_num,location,MinOfucr,MinOfibr_code,dispo_code,MaxOfnum_victims,Shift,Avg Day,loc_type,UC2 Literal,neighborhood,npu,x,y
6729300,170313009,01/31/2017,01/31/2017,20:00:00,01/31/2017,20:08:00,305,,,159 BOWEN CIR SW,0640,2305,,1,Eve,Tue,20,LARCENY-FROM VEHICLE,High Point,Y,-84.396910000000005,33.717379999999999
6729301,170313016,01/31/2017,01/31/2017,17:23:00,01/31/2017,20:15:00,211,,,2459 PIEDMONT RD NE,0630,2303,10,1,Eve,Tue,24,LARCENY-NON VEHICLE,Lindbergh/Morosgo,B,-84.366919999999993,33.822740000000003
6729302,170313044,01/31/2017,01/30/2017,22:00:00,01/31/2017,09:30:00,610,,,17 ANNISTON AVE SE,0710,2404,,1,Morn,Tue,13,AUTO THEFT,Kirkwood,O,-84.337789999999998,33.752969999999998
6729303,170313065,01/31/2017,01/31/2017,20:05:00,01/31/2017,20:26:00,302,,15,566 UNIVERSITY AVE SW,0511,2202,,1,Eve,Tue,26,BURGLARY-RESIDENCE,Pittsburgh,V,-84.406170000000003,33.722070000000002
6729304,170313080,01/31/2017,01/31/2017,18:40:00,01/31/2017,20:30:00,502,,,500 10TH ST NE @BELTLINE BUSINESS,0640,2305,,1,Eve,Tue,18,LARCENY-FROM VEHICLE,,E,-84.369219999999999,33.782229999999998
6729305,170313233,01/31/2017,01/31/2017,17:00:00,01/31/2017,21:36:00,203,,,1200 FOSTER ST NW,0640,2305,,1,Eve,Tue,,LARCENY-FROM VEHICLE,Blandtown,D,-84.414479999999998,33.78651
6729306,170313243,01/31/2017,01/31/2017,07:00:00,01/31/2017,21:00:00,208,ROOM,1605,3300 PEACHTREE RD NE,0522,2205,,1,Day,Tue,14,BURGLARY-NONRES,North Buckhead,B,-84.36936,33.84496
6729307,170313283,01/31/2017,01/31/2017,22:02:00,01/31/2017,22:36:00,409,,,3106 ESPLANADE CIR SW,0341,1206,,1,Eve,Tue,13,ROBBERY-PEDESTRIAN,Southwest,R,-84.493179999999995,33.704839999999997
6729308,170313287,01/31/2017,01/31/2017,15:00:00,01/31/2017,21:00:00,213,,,1544 PIEDMONT AVE NE @PUBLIX - ANSLEY,0640,2305,,1,Eve,Tue,18,LARCENY-FROM VEHICLE,Piedmont Heights,F,-84.371009999999998,33.797890000000002
6729309,170313306,01/31/2017,01/12/2017,17:00:00,01/12/2017,18:00:00,207,,,2166 PEACHTREE RD NW @HOUSTONS,0640,2305,,1,Eve,Thu,21,LARCENY-FROM VEHICLE,,C,-84.392750000000007,33.813490000000002
6729310,170313310,01/31/2017,01/31/2017,18:00:00,01/31/2017,22:30:00,503,,,1123 PEACHTREE WALK NE,0640,2305,,2,Eve,Tue,18,LARCENY-FROM VEHICLE,Midtown,E,-84.386039999999994,33.785400000000003
6729311,170313320,01/31/2017,01/31/2017,22:20:00,01/31/2017,22:28:00,402,,,647 LAWTON ST SW;,0311,1204,,1,Eve,Tue,,ROBBERY-PEDESTRIAN,West End,T,-84.423779999999994,33.737439999999999
6729312,170313364,01/31/2017,01/31/2017,20:00:00,01/31/2017,21:00:00,106,,,1115 DONALD LEE HOLLOWELL PKWY NW,0410,1314,,1,Eve,Tue,31,AGG ASSAULT,Bankhead,K,-84.423829999999995,33.773029999999999
6729313,170313419,01/31/2017,01/31/2017,18:00:00,01/31/2017,23:15:00,604,,,49 BOULEVARD SE,0640,2305,,1,Eve,Tue,13,LARCENY-FROM VEHICLE,Sweet Auburn,M,-84.372100000000003,33.75253
6729314,170313503,01/31/2017,01/31/2017,23:15:00,01/31/2017,23:30:00,604,,,20  JACKSON ST NE,0311,1204,,2,Morn,Tue,13,ROBBERY-PEDESTRIAN,Sweet Auburn,M,-84.374229999999997,33.753880000000002
6729315,170320078,02/01/2017,02/01/2017,00:25:00,02/01/2017,00:25:00,304,,6,953 WASHINGTON ST SW,0410,1314,,1,Morn,Wed,26,AGG ASSAULT,Peoplestown,V,-84.391059999999996,33.729019999999998
6729316,170320634,02/01/2017,01/31/2017,21:00:00,02/01/2017,04:00:00,107,,,1663 NORTH AVE NW,0710,2404,,1,Morn,Wed,18,AUTO THEFT,Grove Park,J,-84.442170000000004,33.768250000000002
6729317,170320712,02/01/2017,02/01/2017,04:40:00,02/01/2017,04:40:00,301,,,656 ERIN AVE SW,0311,1204,,1,Morn,Wed,,ROBBERY-PEDESTRIAN,Capitol View,X,-84.409090000000006,33.719299999999997
6729318,170320859,02/01/2017,02/01/2017,06:15:00,02/01/2017,06:20:00,301,,,1163 METROPOLITAN PKWY SW,0670,2308,,1,Morn,Wed,23,LARCENY-NON VEHICLE,Adair Park,V,-84.408159999999995,33.723170000000003
6729319,170320877,02/01/2017,02/01/2017,06:40:00,02/01/2017,06:45:00,411,,F16,3200 STONE RD SW,0710,2404,,1,Morn,Wed,,AUTO THEFT,Greenbriar,R,-84.494029999999995,33.669699999999999
6729320,170320925,02/01/2017,01/31/2017,19:30:00,02/01/2017,06:00:00,112,,,407 COLLIER RIDGE DR NW,0710,2404,,1,Morn,Wed,20,AUTO THEFT,Collier Heights,I,-84.476290000000006,33.766289999999998
6729321,170320947,02/01/2017,02/01/2017,03:00:00,02/01/2017,07:00:00,304,,11,949 WASHINGTON ST SW;,0660,2317,,1,Morn,Wed,26,LARCENY-NON VEHICLE,Peoplestown,V,-84.391059999999996,33.729109999999999
6729322,170320973,02/01/2017,01/31/2017,18:30:00,02/01/2017,07:30:00,203,,,1667 LAUREL AVE NW,0640,2305,,1,Morn,Wed,18,LARCENY-FROM VEHICLE,Hills Park,D,-84.441909999999993,33.801670000000001
6729323,170320984,02/01/2017,01/31/2017,19:00:00,02/01/2017,07:40:00,206,,,3092 PIEDMONT RD NE,0640,2305,,1,Morn,Wed,14,LARCENY-FROM VEHICLE,Buckhead Village,B,-84.370069999999998,33.8399
6729324,170320993,02/01/2017,02/01/2017,05:10:00,02/01/2017,05:20:00,110,,,1566 ARGULE LN NW,0640,2305,,1,Morn,Wed,20,LARCENY-FROM VEHICLE,Rockdale,G,-84.444559999999996,33.786700000000003
6729325,170321036,02/01/2017,02/01/2017,08:19:00,02/01/2017,08:20:00,204,,,1801 HOWELL MILL RD NW,0630,2303,10,1,Day,Wed,24,LARCENY-NON VEHICLE,Berkeley Park,D,-84.412779999999998,33.803879999999999
6729326,170321053,02/01/2017,01/31/2017,14:00:00,02/01/2017,08:00:00,111,,,189 HERMER CIR NW,0660,2317,,1,Unk,Tue,13,LARCENY-NON VEHICLE,,I,-84.485429999999994,33.75779
6729327,170321087,02/01/2017,01/31/2017,21:00:00,02/01/2017,08:30:00,213,,,1328 AVALON PL NE,0640,2305,,2,Morn,Wed,13,LARCENY-FROM VEHICLE,Morningside/Lenox Park,F,-84.3523,33.79101
6729328,170321247,02/01/2017,01/28/2017,21:00:00,02/01/2017,09:30:00,213,,,1801 WOODCLIFFE TER NE,0670,2308,,1,Unk,Unk,20,LARCENY-NON VEHICLE,Morningside/Lenox Park,F,-84.357770000000002,33.803959999999996
6729329,170321261,02/01/2017,01/31/2017,20:00:00,02/01/2017,10:00:00,511,,,15 WALL ST,0640,2305,,1,Morn,Wed,,LARCENY-FROM VEHICLE,Downtown,M,-84.391199999999998,33.752859999999998
6729330,170321284,02/01/2017,02/01/2017,00:00:00,02/01/2017,09:45:00,408,,,1571 VENETIAN DR SW,0640,2305,,1,Morn,Wed,,LARCENY-FROM VEHICLE,Venetian Hills,S,-84.440029999999993,33.71481
6729331,170321321,02/01/2017,01/31/2017,21:00:00,02/01/2017,08:30:00,608,,,871 SPRINGDALE RD NE,0640,2305,,1,Morn,Wed,13,LARCENY-FROM VEHICLE,Druid Hills,N,-84.342470000000006,33.777920000000002
6729332,170321359,02/01/2017,02/01/2017,10:10:00,02/01/2017,10:15:00,210,,,3589 KINGSBORO RD NE,0311,1204,,1,Day,Wed,20,ROBBERY-PEDESTRIAN,Ridgedale Park,B,-84.351029999999994,33.852260000000001
6729333,170321371,02/01/2017,02/01/2017,10:15:00,02/01/2017,10:18:00,107,,,1510 DONALD LEE HOLLOWELL PKWY NW,0430,1315,,1,Day,Wed,13,AGG ASSAULT,Grove Park,J,-84.437420000000003,33.771410000000003
6729334,170321378,02/01/2017,02/01/2017,10:20:00,02/01/2017,10:40:00,308,,A,878 NORWOOD RD SE,0620,2302,,1,Day,Wed,12,LARCENY-NON VEHICLE,Norwood Manor,Z,-84.360609999999994,33.697000000000003
6729335,170321461,02/01/2017,01/30/2017,00:30:00,01/30/2017,10:00:00,211,,,2399 PARKLAND DR NE,0640,2305,,1,Morn,Mon,18,LARCENY-FROM VEHICLE,Lindbergh/Morosgo,B,-84.364249999999998,33.819479999999999
6729336,170321466,02/01/2017,02/01/2017,10:30:00,02/01/2017,10:45:00,209,,,3718 ROSWELL RD NE,0640,2305,,1,Day,Wed,18,LARCENY-FROM VEHICLE,East Chastain Park,B,-84.382400000000004,33.856780000000001
6729337,170321588,02/01/2017,02/01/2017,03:00:00,02/01/2017,10:00:00,212,APT,4207,415 ARMOUR DR NE,0640,2305,,1,Morn,Wed,18,LARCENY-FROM VEHICLE,,F,-84.374120000000005,33.812669999999997
6729338,170321604,02/01/2017,02/01/2017,11:37:00,02/01/2017,11:45:00,602,,,891 PONCE DE LEON AVE NE,0630,2303,60,1,Day,Wed,12,LARCENY-NON VEHICLE,Poncey-Highland,N,-84.358220000000003,33.773440000000001
6729339,170321627,02/01/2017,02/01/2017,10:20:00,02/01/2017,11:30:00,407,,1700,415 FAIRBURN RD SW,0511,2202,,1,Day,Wed,26,BURGLARY-RESIDENCE,Fairburn Mays,H,-84.509680000000003,33.743490000000001
6729340,170321678,02/01/2017,02/01/2017,10:00:00,02/01/2017,11:30:00,304,,,116 RICHARDSON ST SE,0690,2399,,1,Day,Wed,20,LARCENY-NON VEHICLE,Summerhill,V,-84.383529999999993,33.741030000000002
